id,description
12124,"Aiguille à emballage droite A72 BOHIN : grande aiguille robuste, pour ficeler et coudre emballages et sacs"
12212,"Aiguille à emballage courbe A73 BOHIN : pointe courbe, pour coudre/ficeler emballages et sacs"
98963,"Aiguille machine ""anti-colle"" BOHIN : traitement anti-adhérent, pour coudre tissus enduits/adhésifs sans encrasser l'aiguille"
18095,"Aiguille machine universelle BOHIN B10, pour tissus courants"
98419,"Aiguille machine ""Top Stitch"" (surpiqûre) BOHIN : gros chas pour fils épais décoratifs"
18249,"Aiguille machine BOHIN talon rond, système 287, pour machines à coudre familiales"
18247,"Aiguille machine BOHIN talon rond, système 287, pour machines à coudre familiales"
18248,"Aiguille machine BOHIN talon rond, système 287, pour machines à coudre familiales"
18049,"Aiguille machine universelle BOHIN, système 705 (talon plat), pour machines à coudre familiales"
18050,"Aiguille machine universelle BOHIN, système 705 (talon plat), pour machines à coudre familiales"
18045,"Aiguille machine universelle BOHIN, système 705 (talon plat), pour machines à coudre familiales"
18046,"Aiguille machine universelle BOHIN, système 705 (talon plat), pour machines à coudre familiales"
18047,"Aiguille machine universelle BOHIN, système 705 (talon plat), pour machines à coudre familiales"
18048,"Aiguille machine universelle BOHIN, système 705 (talon plat), pour machines à coudre familiales"
19948,"Aiguille machine spéciale cuir BOHIN : pointe triangulaire tranchante, pour cuir et simili"
98417,"Aiguille machine universelle BOHIN, système 705 (talon plat), pour machines à coudre familiales"
19649,"Aiguille machine spéciale jean BOHIN : pointe renforcée, pour tissus épais type denim"
19898,"Aiguille machine spéciale jersey BOHIN : pointe à bille, pour tissus extensibles"
19598,"Aiguille machine spéciale stretch BOHIN : pointe à bille, pour tissus élastiques"
19746,Aiguille machine jumelée (twin) BOHIN : pour points décoratifs et ourlets doubles
19747,Aiguille machine jumelée (twin) BOHIN : pour points décoratifs et ourlets doubles
98416,"Aiguille machine universelle BOHIN B10, pour tissus courants"
93210,"Aiguille machine Microtex BOHIN : pointe fine et acérée, pour tissus fins et microfibres"
12314,"Aiguille matelas droite A74 BOHIN : aiguille droite robuste, pour capitonnage, ameublement et rembourrage"
12312,"Aiguille matelas droite A74 BOHIN : aiguille droite robuste, pour capitonnage, ameublement et rembourrage"
12316,"Aiguille matelas droite A74 BOHIN : aiguille droite robuste, pour capitonnage, ameublement et rembourrage"
12320,"Aiguille matelas droite A74 BOHIN : aiguille droite robuste, pour capitonnage, ameublement et rembourrage"
669,"Aiguille à main ""mode""/modiste A31F BOHIN : pour surfiler, froncer et bâtir"
1099,"Aiguille à main ""vue fatiguée"" A5F BOHIN : grand chas facile à enfiler, pour couture courante sur tissus légers à moyens"
15406,"Aiguille Smyrne sans pointe A44 BOHIN : grand chas, pour le point noué Smyrne sur canevas"
98410,Aiguille pour surjeteuse BOHIN : système adapté aux machines surjeteuses
98412,Aiguille pour surjeteuse BOHIN : système adapté aux machines surjeteuses
98414,Aiguille pour surjeteuse BOHIN : système adapté aux machines surjeteuses
98405,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
932,"Aiguille tapissier à pointe A43F BOHIN : pointe acérée, pour tapisserie sur tissu tissé"
878,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
826,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
828,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
830,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
832,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
834,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
836,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
838,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
98406,"Aiguille tapisserie sans pointe A42F BOHIN : bout arrondi, pour broderie sur canevas et point de croix sans fendre les fils de la toile"
930,"Aiguille tapissier à pointe A43F BOHIN : pointe acérée, pour tapisserie sur tissu tissé"
83599,Aiguille voile BOHIN : fine aiguille pour tissus légers et voilages
10006_U,"Aiguille à repriser longue A11 BOHIN : grand chas, pour le montage des tricots et les reprises"
768,"Aiguille à broder A41F BOHIN : aiguille à main pointue, acier nickelé, pour broderie sur toile - Numérotée selon l'épaisseur (plus le n° est petit, plus l'aiguille est grosse)"
504,"Aiguille à repriser A21F BOHIN : aiguille longue à grand chas, acier nickelé, pour repriser et raccommoder tout type de tissu"
83499,"Aiguille à coudre le cuir BOHIN : pointe adaptée aux matières épaisses, pour coudre cuir et peau"
81599,"Assortiment d'aiguilles à main ""bricoleurs"" BOHIN : diverses tailles pour petits travaux de couture et réparations"
12710,"Aiguille courbe A75 BOHIN : pour bâtir, froncer et réparer fauteuils/canapés dans les espaces difficiles d'accès - Acier nickelé"
12708,"Aiguille courbe A75 BOHIN : pour bâtir, froncer et réparer fauteuils/canapés dans les espaces difficiles d'accès - Acier nickelé"
12714,"Aiguille courbe A75 BOHIN : pour bâtir, froncer et réparer fauteuils/canapés dans les espaces difficiles d'accès - Acier nickelé"
12712,"Aiguille courbe A75 BOHIN : pour bâtir, froncer et réparer fauteuils/canapés dans les espaces difficiles d'accès - Acier nickelé"
18198,Assortiment de 5 aiguilles machine BOHIN de tailles variées
83899,"Aiguille matelas droite A74 BOHIN : aiguille droite robuste, pour capitonnage, ameublement et rembourrage"
83999,"Aiguille matelas droite A74 BOHIN : aiguille droite robuste, pour capitonnage, ameublement et rembourrage"
616,"Aiguille à main ""mode""/modiste A31F BOHIN : pour surfiler, froncer et bâtir"
81958,Enfile-aiguille BOHIN : facilite l'enfilage du fil dans le chas de l'aiguille
50410,"Épingle de sûreté BOHIN, acier nickelé"
50412,"Épingle de sûreté BOHIN, acier nickelé"
50414,"Épingle de sûreté BOHIN, acier nickelé"
26661,Épingles à tête BOHIN : pour épinglage du tissu avant couture
26192,Épingles à tête perle BOHIN : pour couture et loisirs créatifs
26598,Épingles à tête BOHIN : pour épinglage du tissu avant couture
82199,Passe-lacet BOHIN : outil pour enfiler cordons et lacets dans un tunnel de tissu
43912,Épingles extra-fines BOHIN : pour tissus délicats
46898,"Épingles Houzeaux à tête poire BOHIN, 60mm : pour patchwork et couture"
26703,Épingles à tête plastique colorée BOHIN : pour un repérage facile dans le tissu
26707,Épingles à tête plastique colorée BOHIN : pour un repérage facile dans le tissu
PRY526805,Lot de 100 sachets/crochets pour rail de rideaux
390740,"Boîte de 60 boutons pression Jersey Ø8mm multicolores, à poser sans couture (pince Vario ou Vario Creative Tool)"
393080,"Bouton plastique enfant Prym Love, forme étoile, coloris rouge, à coudre"
1763_1,"Lot de 2 aiguilles plastique à bout rond pour canevas DMC, adaptées aux enfants et débutants"
GC001,"Lot de 10 archets (range-fils) DMC, pour organiser les échevettes de fil à broder par coloris"
PERLE_5B_DMC,"Coton perlé DMC N°5, pelote - Fil 100% coton mercerisé non divisible, aspect torsadé brillant, pour broderie décorative et Hardanger"
PERLE_12B_DMC,"Coton perlé DMC N°12, pelote - Fil 100% coton mercerisé non divisible, plus fin que le N°5, pour broderie fine et monogrammes"
C2502,"Canevas DMC ""Carpe Koï"", 16x22cm - Toile imprimée prête à broder"
C09N241K,"Canevas gros trous DMC ""Didier Dino"", 15x15cm - Toile à larges mailles pour initiation, motif imprimé"
C2503,"Canevas DMC ""Léopard"", 24x30cm, sans fils - Toile imprimée prête à broder (fils non inclus)"
C2205,"Canevas DMC ""New York"", 30x42cm, sans fils - Toile imprimée prête à broder (fils non inclus)"
C2508,"Canevas DMC ""Paris"", 30x41,3cm, sans fils - Toile imprimée prête à broder (fils non inclus)"
C2501,"Canevas DMC ""Perroquet"", 16x21,5cm - Toile imprimée prête à broder"
C2208,"Canevas DMC ""Rio"", 30x42cm, sans fils - Toile imprimée prête à broder (fils non inclus)"
6101_12,Lot de 56 cartonnettes DMC pour ranger et identifier les fils à broder par numéro de coloris
2171129,"Lot de 3 tambours à broder Milward + pied support, 15,2/20,3/25,4cm - Marque britannique de mercerie depuis 1730"
MOULINE_METAL_DMC,"Fil mouliné métallisé/irisé DMC, échevette 8m, effet scintillant pour rehauts brillants en broderie"
MOULINE_ETOILE_DMC,"Fil mouliné Étoile DMC : 73% coton / 27% polyamide métallique, échevette 8m, 6 brins séparables, effet scintillant discret"
PERLE_5E_DMC,"Coton perlé DMC N°5, échevette 25m (5g) - Fil 100% coton mercerisé non divisible, torsadé et brillant, idéal broderie décorative/Hardanger"
PERLE_METALISE_DMC,"Coton perlé métallisé DMC N°5, échevette 25m - Fil métallisé polyester/viscose non divisible, chatoyant"
MOULINE_DMC,"Fil mouliné Spécial DMC : 100% coton longues fibres, échevette 8m, 6 brins séparables, double mercerisé, grand teint - Référence mondiale du point de croix"
MOULINE_COLORI_DMC,"Fil mouliné Spécial DMC coloris (dégradé multicolore sur une même échevette), 100% coton, 8m, 6 brins séparables"
MOULINE_VARIATION,"Fil mouliné DMC Color Variations : 100% coton, 8m, 6 brins séparables, dégradé progressif sur l'échevette pour effets d'ombré"
RETORS_DMC,"Fil Retors Mat DMC : fil retors 100% coton à finition mate (non mercerisé), pour broderie traditionnelle et point de croix sur lin"
BK1896,"Kit d'initiation à la broderie 1/2 point DMC ""Perroquet"" avec tambour, spécial enfant - contient tambour, toile, fils et grille explicative simplifiée"
KIT117_PRIM,"Assortiment de 12 échevettes de fil mouliné DMC, coloris ""Primaire"" (couleurs vives)"
KIT117_PAST,"Assortiment de 12 échevettes de fil mouliné DMC, coloris ""Pastel"""
TB195,"Kit de broderie DMC ""Champs de tournesols"" - contient toile, fils mouliné, aiguille et modèle à broder"
FC210,"Kit de broderie DMC ""Étoiles"" technique Magic Paper (papier soluble à broder) - contient papier Magic Paper, fils mouliné, aiguille et modèle"
TB194,"Kit de broderie DMC ""Pluie Océane"" - contient toile, fils mouliné, aiguille et modèle à broder"
TB202,"Kit de broderie DMC ""Portrait et Coquelicot"", 17x28cm - contient toile, fils mouliné, aiguille et modèle à broder"
TB177,"Kit de broderie duo DMC ""Coquelicot"" - 2 modèles, contient toile, fils mouliné, aiguilles et modèles à broder"
TB148,"Kit de broderie perlée DMC ""Ondes Positives"" - contient toile, fils et perles, aiguille et modèle à broder"
C125K,"Kit canevas DMC ""Marguerites"", 12x15cm - contient canevas imprimé, laine/fils et aiguille"
C142K,"Kit canevas DMC ""Ours géométrique"", 20x21cm - contient canevas imprimé, laine/fils et aiguille"
C129K,"Kit canevas DMC ""Vague"" (design Beth J.), 12x15cm - contient canevas imprimé, laine/fils et aiguille"
C128K,"Kit canevas DMC ""Van"" (design Joanna H.), 12x15cm - contient canevas imprimé, laine/fils et aiguille"
C06N81K,"Kit canevas gros trous DMC ""Flamant Rose"", 13x18cm - toile à larges mailles adaptée aux débutants et enfants"
BK1953,"Kit duo point de croix DMC ""Composition Persane"" - 2 modèles, contient toile Aida, fils mouliné, aiguilles et grilles explicatives"
TB175,"Kit de broderie duo DMC ""Anémone"" - 2 modèles, contient toile, fils mouliné, aiguilles et modèles à broder"
BK1937,"Kit point de croix DMC avec tambour ""Violettes"", 18cm - contient tambour à broder, toile, fils mouliné et grille explicative"
FC209,"Kit point de croix DMC ""Pirate"" technique Magic Paper (papier soluble à broder) - contient papier Magic Paper, fils mouliné, aiguille et modèle"
BL1067_71,"Kit point de croix DMC ""Champ de blé aux cyprès"" d'après Van Gogh, collection Musées - 29x23cm, contient toile Aida, fils mouliné, aiguille et grille explicative"
BK1995,"Kit point de croix DMC ""La Nuit étoilée"" d'après Van Gogh, collection Musées - 35x28cm, contient toile Aida, fils mouliné/étoile, aiguille et grille explicative"
BK1991,"Kit point de croix DMC ""Le Cri"" d'après Edvard Munch, collection Musées - 28x36cm, contient toile Aida, fils mouliné, aiguille et grille explicative"
BK1994,"Kit point de croix marque-page DMC ""Le Cadre"" d'après Frida Kahlo, collection Musées - contient toile Aida, fils mouliné, aiguille et grille explicative"
BK1999,"Kit point de croix marque-page DMC ""Le Baiser"" d'après Gustav Klimt, collection Musées - contient toile Aida, fils mouliné et étoile, aiguille et grille explicative"
BK1992,"Kit point de croix marque-page DMC ""Le Cri"" d'après Edvard Munch, collection Musées - contient toile Aida, fils mouliné, aiguille et grille explicative"
BK1998,"Kit point de croix marque-page DMC ""Le Fuji Rouge"" d'après Katsushika Hokusai, collection Musées - contient toile Aida, fils mouliné, aiguille et grille explicative"
BK1993,"Kit point de croix DMC ""Le Cadre"" d'après Frida Kahlo, collection Musées - 25x35cm, contient toile Aida, fils mouliné, aiguille et grille explicative"
BK1997,"Kit point de croix DMC ""Le Fuji Rouge"" d'après Katsushika Hokusai, collection Musées - 35x23cm, contient toile Aida, fils mouliné, aiguille et grille explicative"
BK2018,"Kit point de croix DMC avec tambour ""Poisson"" - contient tambour à broder, toile, fils mouliné et grille explicative"
BK2019,"Kit point de croix DMC avec tambour ""Poulpe"" - contient tambour à broder, toile, fils mouliné et grille explicative"
BL1167_76,"Kit point de croix DMC ""Aquarelle Fleurs en bocaux"" - 30x20cm, contient toile Aida, fils mouliné, aiguille et grille explicative"
PN012K,"Kit punch needle DMC ""Balade dans la Jungle"" - contient toile, aiguille punch needle, fils/laine et modèle"
PN007K,"Kit punch needle DMC ""Bébé Renard"" - contient toile, aiguille punch needle, fils/laine et modèle"
PN002K,"Kit punch needle DMC ""Douceur Marine"" - contient toile, aiguille punch needle, fils/laine et modèle"
PN011K,"Kit punch needle DMC ""Fleurs Tropicales"" - contient toile, aiguille punch needle, fils/laine et modèle"
PN003K,"Kit punch needle DMC ""Terre de Sable"" - contient toile, aiguille punch needle, fils/laine et modèle"
FC10000,"Feuille Magic Paper DMC vierge, format A4 : papier soluble à broder, se dissout à l'eau une fois la broderie terminée"
MO242BX,"Rouleau d'étamine DMC, 10 fils/cm, 50x61cm - Toile de broderie pour point compté"
LC257BX,"Rouleau toile Aida en lin DMC, 5,5 pts/cm, 38x45cm - Support de broderie point de croix"
GD1443BX,"Rouleau toile Aida irisée DMC, 5,5 pts/cm, 38x45cm - Effet chatoyant, support de broderie point de croix"
GD1440BX,"Rouleau toile Aida métallisée DMC, 5,5 pts/cm, 38x45cm - Effet brillant, support de broderie point de croix"
U1992,"Support pour cadre de broderie DMC, 8x6x2cm - Pour présenter un ouvrage terminé"
MK0024,"Tambour à broder DMC en bois, Ø12.5cm - Maintient le tissu tendu pendant la broderie"
MK0025,"Tambour à broder DMC en bois, Ø15.5cm - Maintient le tissu tendu pendant la broderie"
MK0026,"Tambour à broder DMC en bois, Ø18.5cm - Maintient le tissu tendu pendant la broderie"
MV0033L_130,"Tambour à broder plastique rond DMC, Ø13cm"
U2056,"Tambour à broder en bois DMC, Ø7,5cm"
U2095,"Tambour carré blanc DMC pour broderie, 43x43cm - Grand format pour ouvrages encadrés"
U2107,"Tambour ovale en bois DMC, 12,5x20cm"
MV0034L_175,"Tambour ovale plastique DMC, 17,5x13cm"
DT212,"Toile à canevas interlock DMC, 1,3 pt/cm, 100cm - Support pour tapis au point noué"
GD1436BXI,"Toile Aida imprimée DMC, 5,5 pts/cm, 38x45cm - Motif pré-imprimé à broder au point de croix"
DC29SO_T1,"Toile Aida DMC 2,4 pts/cm, spéciale technique Punch Needle"
DC29SO_T2,"Toile Aida DMC 2,4 pts/cm, grand format (50,8x61cm) - Toile à larges mailles adaptée au Punch Needle et aux gros points"
DC7700,"Toile tire-fils DMC 10 fils/cm, 38,1x45,7cm - Support pour broderie sur jours et point compté"
AA1075032,"Ciseaux classiques universels Fiskars, 21cm, droitier - Marque finlandaise emblématique (manche orange)"
AA1075036,"Ciseaux classiques universels Fiskars, 21cm, gaucher"
2183104,"Ciseaux couturière acier Milward, 20cm"
2189029,"Ciseaux couturière acier Milward, 23cm"
2183105,"Ciseaux couturière acier Milward, 27cm"
AA1005151,"Ciseaux Fiskars Classic professionnels, 25cm"
Z118.40,"Fermeture éclair invisible Milward N°3, 40cm"
Z_530,"Tirette de rechange pour fermeture éclair Milward, forme étoile"
ART334,"Fil à coudre câblé DMC 100% coton, pour coutures fortes sur tous textiles"
DIAMANT_DMC,"Fil à broder Diamant DMC : fil métallisé et lumineux (72% viscose / 28% polyester métallisé), bobine 35m, broderie main uniquement, ne s'effiloche pas"
202B,"Fil à coudre DMC spécial quilting, 100% coton, bobine 200m - Pour l'assemblage et la finition des ouvrages de patchwork"
GUTJEAN.4888,"Fil à coudre Gütermann spécial jean, 100m, coloris 4888 - Fil renforcé pour tissus épais type denim"
GUTJEAN.5154,"Fil à coudre Gütermann spécial jean, 100m, coloris 5154"
GUTJEAN.5397,"Fil à coudre Gütermann spécial jean, 100m, coloris 5397"
GUT1000.000,"Fil à coudre Gütermann 100% polyester, bobine 1000m, coloris noir - Fil sew-all universel toutes machines"
ART280,"Fil métallisé doré DMC, pour rehauts brillants en broderie"
1022-4001,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4001"
1022-4013,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4013"
1022-4018,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4018"
1022-4026,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4026"
1022-4031,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4031"
1022-4032,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4032"
1022-4033,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4033"
1022-4037,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4037"
1022-4038,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4038"
1022-4042,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4042"
1022-4046,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4046"
1022-4054,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4054"
1022-4057,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4057"
1022-4066,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4066"
1022-4073,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4073"
1022-4084,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4084"
1022-4088,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4088"
1022-4090,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4090"
1022-4091,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4091"
1022-4092,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4092"
1022-4093,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4093"
1022-4094,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4094"
1022-4095,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4095"
1022-4096,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4096"
1022-4100,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4100"
1022-4104,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4104"
1022-4198,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4198"
1022-4199,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4199"
1022-4201,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4201"
1022-4204,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4204"
1022-4226,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4226"
1022-4227,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4227"
1022-4229,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4229"
1022-4233,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4233"
1022-4234,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4234"
1022-4240,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4240"
1022-4241,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4241"
1022-4242,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4242"
1022-4261,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4261"
1022-4262,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4262"
1022-4266,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4266"
1022-4267,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4267"
1022-4307,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4307"
1022-4308,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4308"
1022-4311,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4311"
1022-4312,"Fil à coudre DMC 100% polyester, bobine 120m, grosseur métrique 72/2 (n°70) - Couture main et machine, tous textiles, coloris 4312"
